Lable,Tweet
positive,Chris Barron On His New ‘Angels &amp; One-Armed Jugglers’ Album, Playing Rockwood Music Hall, And The Spin Doctors https://t.co/eWPxDumBef
neutral,i cant stop laughing at this pic from Travis Scott’s concert tonight https://t.co/XstEPMwqUq
positive,RT TO WIN: KAT VON D SAINT &amp; SINNER PALETTE (must be following me &amp; @bentrinh_ to win) https://t.co/OrJVc7LWRc
positive,RT TO WIN: JACLYN X MORPHE PALETTE + MORPHE'S ROSE GOLD BRUSH SET✨ (must be following me so I can DM the winner) https://t.co/GS0K9poSyV
neutral,Now let's watch #MadDog
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,ok but before I find out what actually happens in ep 12 can i just say that the last thing Noori says to Minjoon is “HYUNG” 😭❤️ #MadDog #매드독
positive,every time i have a presentation i wonder what would happen if instead of introducing myself i just started screaming at the top of my lungs. in case anyone was wondering about where i stand with public speaking
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
positive,what is it w/ ep 11s this week?! first #BecauseThisIsMyFirstLife blew my mind now #MadDog 😍 #매드독 i’m scared for ep 12 though 😭
positive,i take it back VR is fucking amazing https://t.co/wmxwfOVmYI
positive,#MadDog ep 11 was so freaking good. how does this show keep this up?! but i swear too God is anything happens to Noori… #매드독
neutral,In our thoughts &amp; prayers Maddog. #madlove4mad https://t.co/4qB138kOEL
neutral,In our thoughts &amp; prayers Maddog. #madlove4mad https://t.co/4qB138kOEL
neutral,In our thoughts &amp; prayers Maddog. #madlove4mad https://t.co/4qB138kOEL
neutral,In our thoughts &amp; prayers Maddog. #madlove4mad https://t.co/4qB138kOEL
positive,My best friends Maddog me then video tape it when I yak https://t.co/XPmjL28WJe
neutral,Can't wait for the next episode 🔥🔥 #MadDog
neutral,Jesus Christ missed tackles all over.
positive,OMG finally it finish 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 😭😭😭😭😭😭😭😭😭 great drama for 2017 👍👍👍👍👍 Good job Qiu hehehehe 1 out of 3 my favorite drama already ended greatly, totally satisfied with the ending 👍👍👍👍 #WhileYouWereSleeping ✔ #WitchCourt #MadDog
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Happy Ending, Begini Rating Episode Terakhir 'While You Were Sleeping' https://t.co/bEmMQDMZwZ #tv #WhileYouWereSleeping #Suzy #LeeJongSuk #MadDog https://t.co/d1hYbzqyKY
neutral,[Mixtape] Money Mitch - Walking Dollar $ign(Black Knight Money Gang) @PSTMoneyMitch » https://t.co/SbO3jHvupA
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
negative,At least they got some points off that turnover but would rather have a TD there. 10-0 #Steelers
positive,Whoa, this couple. Even without skinship, even only with their stares, I could feel that there's love between them 😍❤ #MadDog #WooDoHwan #RyuHwaYoung https://t.co/rftMSqex0S
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
neutral,PICKED OFF!!!!
positive,Happy Ending, Begini Rating Episode Terakhir 'While You Were Sleeping' https://t.co/bEmMQDMZwZ #tv #WhileYouWereSleeping #Suzy #LeeJongSuk #MadDog https://t.co/d1hYbzqyKY
neutral,I've just watched episode S01E12 of Mad Dog! #maddog #tvtime https://t.co/DCS7nvIRmv https://t.co/xnekgwGFxe
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
positive,Bruh just wait lol I'm coming for y'all jugglers 🤐☠😈
positive,Happy Ending, Begini Rating Episode Terakhir 'While You Were Sleeping' https://t.co/bEmMQDMZwZ #tv #WhileYouWereSleeping #Suzy #LeeJongSuk #MadDog https://t.co/d1hYbzqyKY
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
positive,Ratings 16/11/17: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% And WYWS still remained top in its time slot. It was one of the shows that deserved higher ratings from start to finish. Either way I’m proud off WYWS for having consistent ratings. This show was LOVE! 👏🏼
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
neutral,Ratings 171116: #WhileYouWereSleeping : 8.7% | 9.7% #MadDog : 6.4% #BuamdongRevengeSocialClub : 6.3%
