Lable,Tweet
neutral,@SBS_Masterkey Please vote JR #김종현 💙 https://t.co/scZU5DSGMh
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,Mingyu is gg to be on 8th ep of Masterkey~ https://t.co/1OGsHon3x6
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,@SBS_Masterkey Please vote JR #김종현 💙 https://t.co/scZU5DSGMh
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
negative,SBS Masterkey Round 8 Lee Soo Geun Jeon Hyun Moo Wanna One Kang Daniel Kim Jong Min SEVENTEEN Mingyu Girl’s Day Minah SHINee Minho Wanna One Ong Seongwoo NU’EST W JR SHINee Key Wanna One Ha Sungwoon Oh My Girl Hyojung https://t.co/ZpfVjPjf9e
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
negative,SBS Masterkey Round 8 Lee Soo Geun Jeon Hyun Moo Wanna One Kang Daniel Kim Jong Min SEVENTEEN Mingyu Girl’s Day Minah SHINee Minho Wanna One Ong Seongwoo NU’EST W JR SHINee Key Wanna One Ha Sungwoon Oh My Girl Hyojung https://t.co/ZpfVjPjf9e
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,my favs all in one show 💕😭 can’t wait to watch ☺️ #MasterKey https://t.co/nL20WKPO88
neutral,Can't wait to watch Masterkey tomorrow~! https://t.co/32xhmyBQzl https://t.co/tTcT1M2uk7
neutral,Minho and Key for Masterkey Ep 8! https://t.co/pVZWtdpuBD
negative,minho keeps saying "sorry" to yerin when their team looses in #MasterKey ep.5 what a GENTLEMAN
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,minho will go on masterkey everyone not on his team prepare to lose
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
neutral,[PIC] 171117 #GOT7 #Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/p4HHcx2sqN
neutral,[PIC] 171117 #GOT7Jinyoung #Jackson #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/4EBCO933D5
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
neutral,[PIC] 171117 #GOT7 #Jinyoung #MasterKey SBS Official Update https://t.co/1auGDPluOo #마스터키 https://t.co/IN9mL9gLZm
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
positive,NU’EST JR Pledis Kim Jonghyun being his adorable self for SBS Masterkey. PD-nim pls give him more screentime this episode 🙏🏻😍 https://t.co/Br9Ff2TFlw
