Lable,Tweet
positive,Will Seo Ji An ever be happy in this show? #MyGoldenLife
positive,37.9% The highest drama rating for this year!! #MyGoldenLife jinja Daebak! Wait until DoKyung &amp; JiAn meet up, sure the rating gonna be even more higher!! https://t.co/4UawOl4uYQ
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
positive,I'm watching S01E21 of My Golden Life! #mygoldenlife https://t.co/eQCZZeNykf #tvtime https://t.co/NJ3Z6Lzym8
neutral,Rating EP.1 MoneyFlower - 돈꽃 20171111 . #MyGoldenLife : 32.3% #MoneyFlower: 10.3% | 12.7% #BravoMyLife : 6.8% | 6.9% | 7.2% | 7.3% #GoBackSpouses : 6% . #장혁 #janghyuk #จางฮยอก #장혁태국 #janghyukthailand #HyukSpam #KangPilJu #MoneyFlower #돈꽃 #ParkSeYoung #NaMoYeon #MBC https://t.co/wAQoDzaGNc
positive,@hausencarey #MyGoldenLife.the writer is great! She has interesting surprises! Shin Hyesun @tellenths) is a phenomenal actress! Congrats to the team!
negative,Ratings 171112: #MyGoldenLife : 37.9% #ManWhoSetsTheTable : 9.7% | 12.6% #Black : 3.4% #RevolutionaryLove : 2.6%
negative,Ratings 171111: #MyGoldenLife : 32.3% #MoneyFlower: 10.3% | 12.7% #BravoMyLife : 6.8% | 6.9% | 7.2% | 7.3% #GoBackSpouses : 6% #Black : 3% #RevolutionaryLove : 2.8% #ThePackage : 1.9%
positive,Ho guardato "Episode 2" (S01E02) di Hate To Love You #hatetoloveyou https://t.co/9JHUEFWci0 #tvtime
positive,Ho guardato "Episode 1" (S01E01) di Hate To Love You #hatetoloveyou https://t.co/uYReDo4Peh #tvtime
negative,This was me when I was watching #Mygoldenlife, Ep 19-22. God I feel so bad for Ji An. https://t.co/WTyDZXDfXO
negative,episode 22 felt so long. Just wanted to see any glimpse of Seo Ji An #MyGoldenLife
negative,Everything is difficult fo her 💔 #MyGoldenLife✨ https://t.co/2nCg53GgvH
positive,37.9% The highest drama rating for this year!! #MyGoldenLife jinja Daebak! Wait until DoKyung &amp; JiAn meet up, sure the rating gonna be even more higher!! https://t.co/4UawOl4uYQ
positive,Jisoo has many reason going to her real family 1. She angry with the other parents. 2. She think the other parents doesnt think her as their daughter 3. She wants to save her parents too so they wont go to jail #MyGoldenLife
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
neutral,Preview of Episode 23 please #MyGoldenLife 🙊
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
positive,#WannaOneGO season 2 tops CPI rankings of November 2017 first week followed by #MyGoldenLife &amp; #TheUnit on 2nd &amp; 3rd (Note: JTBC shows are not included in the survey) https://t.co/RqDzBtE2pq #KoreanUpdates RZ https://t.co/sdJQ4tK8QU
